,,,,,,,,,,,,
,,,,,,,,,,,,
County Name,Priority Area Number,Priority Area,Indicator Number,Indicator,Event Count/Rate, ,Percentage/Rate/Ratio,Lower Limit of 95% CI,Upper Limit of 95% CI,Data Comments,Data Years,Date Source
Essex,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",44,"8,748",16.8,,,,2018-2020,SPARCS data as of August 2022
Franklin,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",49,"8,559",19.1,,,,2018-2020,SPARCS data as of August 2022
Fulton,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",29,"10,457",9.2,,,,2018-2020,SPARCS data as of August 2022
Genesee,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",21,"10,773",6.5,,,,2018-2020,SPARCS data as of August 2022
Greene,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",23,"10,529",7.3,,,,2018-2020,SPARCS data as of August 2022
Hamilton,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",s,"1,401",.,,,Data Suppressed,2018-2020,SPARCS data as of August 2022
Herkimer,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",27,"12,708",7.1,,,,2018-2020,SPARCS data as of August 2022
Jefferson,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",69,"15,272",15.1,,,,2018-2020,SPARCS data as of August 2022
Lewis,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",18,"4,893",12.3,,,,2018-2020,SPARCS data as of August 2022
Livingston,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",31,"11,313",9.1,,,,2018-2020,SPARCS data as of August 2022
Madison,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",17,"13,008",4.4,,,,2018-2020,SPARCS data as of August 2022
Monroe,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",530,"128,941",13.7,,,,2018-2020,SPARCS data as of August 2022
Montgomery,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",63,"9,187",22.9,,,,2018-2020,SPARCS data as of August 2022
Nassau,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",948,"241,248",13.1,,,,2018-2020,SPARCS data as of August 2022
Niagara,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",113,"40,006",9.4,,,,2018-2020,SPARCS data as of August 2022
Oneida,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",106,"42,939",8.2,,,,2018-2020,SPARCS data as of August 2022
Onondaga,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",182,"78,782",7.7,,,,2018-2020,SPARCS data as of August 2022
Ontario,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",55,"21,985",8.3,,,,2018-2020,SPARCS data as of August 2022
Orange,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",259,"53,716",16.1,,,,2018-2020,SPARCS data as of August 2022
Orleans,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",19,"7,289",8.7,,,,2018-2020,SPARCS data as of August 2022
Oswego,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",35,"19,192",6.1,,,,2018-2020,SPARCS data as of August 2022
Otsego,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",38,"12,654",10,,,,2018-2020,SPARCS data as of August 2022
Putnam,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",64,"17,160",12.4,,,,2018-2020,SPARCS data as of August 2022
Rensselaer,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",59,"27,284",7.2,,,,2018-2020,SPARCS data as of August 2022
Rockland,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",242,"51,282",15.7,,,,2018-2020,SPARCS data as of August 2022
St. Lawrence,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",52,"19,040",9.1,,,,2018-2020,SPARCS data as of August 2022
Saratoga,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",72,"41,765",5.7,,,,2018-2020,SPARCS data as of August 2022
Schenectady,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",96,"26,583",12,,,,2018-2020,SPARCS data as of August 2022
Schoharie,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",14,"6,826",6.8,,,,2018-2020,SPARCS data as of August 2022
Schuyler,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",9,"3,774",7.9,,,Unstable Estimate,2018-2020,SPARCS data as of August 2022
Seneca,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",10,"6,557",5.1,,,,2018-2020,SPARCS data as of August 2022
Steuben,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",50,"18,755",8.9,,,,2018-2020,SPARCS data as of August 2022
Suffolk,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",852,"250,886",11.3,,,,2018-2020,SPARCS data as of August 2022
Sullivan,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",50,"14,333",11.6,,,,2018-2020,SPARCS data as of August 2022
Tioga,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",7,"9,846",2.4,,,Unstable Estimate,2018-2020,SPARCS data as of August 2022
Tompkins,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",33,"14,828",7.4,,,,2018-2020,SPARCS data as of August 2022
Ulster,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",133,"35,344",12.5,,,,2018-2020,SPARCS data as of August 2022
Warren,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",37,"14,323",8.6,,,,2018-2020,SPARCS data as of August 2022
Washington,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",34,"11,987",9.5,,,,2018-2020,SPARCS data as of August 2022
Wayne,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",31,"16,930",6.1,,,,2018-2020,SPARCS data as of August 2022
Westchester,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years","1,090","165,753",21.9,,,,2018-2020,SPARCS data as of August 2022
Wyoming,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",16,"7,199",7.4,,,,2018-2020,SPARCS data as of August 2022
Yates,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",8,"5,157",5.2,,,Unstable Estimate,2018-2020,SPARCS data as of August 2022
Bronx,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years","4,541","184,072",82.2,,,,2018-2020,SPARCS data as of August 2022
Kings,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years","4,983","361,118",46,,,,2018-2020,SPARCS data as of August 2022
New York,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years","3,322","271,811",40.7,,,,2018-2020,SPARCS data as of August 2022
Queens,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years","2,973","359,459",27.6,,,,2018-2020,SPARCS data as of August 2022
Richmond,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",439,"77,526",18.9,,,,2018-2020,SPARCS data as of August 2022
Long Island,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years","1,800","492,134",12.2,,,,2018-2020,SPARCS data as of August 2022
New York City,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years","16,258","1,253,986",43.2,,,,2018-2020,SPARCS data as of August 2022
Mid-Hudson,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years","2,045","389,294",17.5,,,,2018-2020,SPARCS data as of August 2022
Capital Region,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",524,"172,420",10.1,,,,2018-2020,SPARCS data as of August 2022
Mohawk Valley,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",171,"51,832",11,,,,2018-2020,SPARCS data as of August 2022
North Country,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",238,"58,804",13.5,,,,2018-2020,SPARCS data as of August 2022
Tug Hill Seaway,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",139,"39,205",11.8,,,,2018-2020,SPARCS data as of August 2022
Central NY,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",391,"176,460",7.4,,,,2018-2020,SPARCS data as of August 2022
Southern Tier,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",233,"82,074",9.5,,,,2018-2020,SPARCS data as of August 2022
Finger Lakes,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",770,"229,391",11.2,,,,2018-2020,SPARCS data as of August 2022
Western NY,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years",967,"279,127",11.5,,,,2018-2020,SPARCS data as of August 2022
New York State (excluding NYC),1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years","7,278","1,970,741",12.3,,,,2018-2020,SPARCS data as of August 2022
New York State,1,Component 1: Asthma Emergency Department Visits in New York State,ad9,"Asthma emergency department visit rate per 10,000 - aged 65+ years","23,536","3,224,727",24.3,,,,2018-2020,SPARCS data as of August 2022
Albany,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","4,271","306,691",46.4,,,,2018-2020,SPARCS data as of August 2022
Allegany,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",414,"46,286",29.8,,,,2018-2020,SPARCS data as of August 2022
Broome,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","1,937","192,222",33.6,,,,2018-2020,SPARCS data as of August 2022
Cattaraugus,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",563,"76,748",24.5,,,,2018-2020,SPARCS data as of August 2022
Cayuga,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",534,"77,121",23.1,,,,2018-2020,SPARCS data as of August 2022
Chautauqua,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","1,432","127,516",37.4,,,,2018-2020,SPARCS data as of August 2022
Chemung,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",930,"84,033",36.9,,,,2018-2020,SPARCS data as of August 2022
Chenango,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",554,"47,502",38.9,,,,2018-2020,SPARCS data as of August 2022
Clinton,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",804,"80,675",33.2,,,,2018-2020,SPARCS data as of August 2022
Columbia,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",482,"59,852",26.8,,,,2018-2020,SPARCS data as of August 2022
Cortland,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",435,"47,721",30.4,,,,2018-2020,SPARCS data as of August 2022
Delaware,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",466,"44,624",34.8,,,,2018-2020,SPARCS data as of August 2022
Dutchess,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","3,186","293,814",36.1,,,,2018-2020,SPARCS data as of August 2022
Erie,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","11,054","919,941",40.1,,,,2018-2020,SPARCS data as of August 2022
Essex,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",348,"37,309",31.1,,,,2018-2020,SPARCS data as of August 2022
Franklin,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",481,"50,325",31.9,,,,2018-2020,SPARCS data as of August 2022
Fulton,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",845,"53,654",52.5,,,,2018-2020,SPARCS data as of August 2022
Genesee,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",356,"57,509",20.6,,,,2018-2020,SPARCS data as of August 2022
Greene,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",333,"47,401",23.4,,,,2018-2020,SPARCS data as of August 2022
Hamilton,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",26,"4,453",19.5,,,,2018-2020,SPARCS data as of August 2022
Herkimer,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",330,"61,760",17.8,,,,2018-2020,SPARCS data as of August 2022
Jefferson,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","1,300","112,266",38.6,,,,2018-2020,SPARCS data as of August 2022
Lewis,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",150,"26,503",18.9,,,,2018-2020,SPARCS data as of August 2022
Livingston,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",295,"63,281",15.5,,,,2018-2020,SPARCS data as of August 2022
Madison,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",391,"71,180",18.3,,,,2018-2020,SPARCS data as of August 2022
Monroe,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","10,133","744,239",45.4,,,,2018-2020,SPARCS data as of August 2022
Montgomery,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","1,037","49,502",69.8,,,,2018-2020,SPARCS data as of August 2022
Nassau,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","9,745","1,357,423",23.9,,,,2018-2020,SPARCS data as of August 2022
Niagara,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","2,268","210,300",35.9,,,,2018-2020,SPARCS data as of August 2022
Oneida,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","1,783","229,431",25.9,,,,2018-2020,SPARCS data as of August 2022
Onondaga,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","5,098","461,890",36.8,,,,2018-2020,SPARCS data as of August 2022
Ontario,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",678,"109,962",20.6,,,,2018-2020,SPARCS data as of August 2022
Orange,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","4,589","382,411",40,,,,2018-2020,SPARCS data as of August 2022
Orleans,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",396,"40,708",32.4,,,,2018-2020,SPARCS data as of August 2022
Oswego,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",914,"117,520",25.9,,,,2018-2020,SPARCS data as of August 2022
Otsego,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",366,"59,828",20.4,,,,2018-2020,SPARCS data as of August 2022
Putnam,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",669,"98,871",22.6,,,,2018-2020,SPARCS data as of August 2022
Rensselaer,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","1,403","159,452",29.3,,,,2018-2020,SPARCS data as of August 2022
Rockland,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","2,411","325,656",24.7,,,,2018-2020,SPARCS data as of August 2022
St. Lawrence,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","1,152","108,534",35.4,,,,2018-2020,SPARCS data as of August 2022
Saratoga,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",829,"230,127",12,,,,2018-2020,SPARCS data as of August 2022
Schenectady,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","1,939","155,334",41.6,,,,2018-2020,SPARCS data as of August 2022
Schoharie,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",209,"31,182",22.3,,,,2018-2020,SPARCS data as of August 2022
Schuyler,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",136,"17,842",25.4,,,,2018-2020,SPARCS data as of August 2022
Seneca,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",208,"34,277",20.2,,,,2018-2020,SPARCS data as of August 2022
Steuben,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",632,"95,876",22,,,,2018-2020,SPARCS data as of August 2022
Suffolk,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","12,191","1,482,275",27.4,,,,2018-2020,SPARCS data as of August 2022
Sullivan,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","1,199","75,381",53,,,,2018-2020,SPARCS data as of August 2022
Tioga,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",175,"48,515",12,,,,2018-2020,SPARCS data as of August 2022
Tompkins,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",487,"102,382",15.9,,,,2018-2020,SPARCS data as of August 2022
Ulster,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","1,869","178,510",34.9,,,,2018-2020,SPARCS data as of August 2022
Warren,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",405,"64,269",21,,,,2018-2020,SPARCS data as of August 2022
Washington,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",349,"61,335",19,,,,2018-2020,SPARCS data as of August 2022
Wayne,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",692,"90,110",25.6,,,,2018-2020,SPARCS data as of August 2022
Westchester,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","13,428","968,928",46.2,,,,2018-2020,SPARCS data as of August 2022
Wyoming,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",226,"40,068",18.8,,,,2018-2020,SPARCS data as of August 2022
Yates,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000",167,"24,959",22.3,,,,2018-2020,SPARCS data as of August 2022
Bronx,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","76,262","1,432,316",177.5,,,,2018-2020,SPARCS data as of August 2022
Kings,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","67,371","2,580,088",87,,,,2018-2020,SPARCS data as of August 2022
New York,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","39,787","1,632,393",81.2,,,,2018-2020,SPARCS data as of August 2022
Queens,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","35,300","2,275,286",51.7,,,,2018-2020,SPARCS data as of August 2022
Richmond,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","7,581","476,531",53,,,,2018-2020,SPARCS data as of August 2022
Long Island,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","21,936","2,839,698",25.7,,,,2018-2020,SPARCS data as of August 2022
New York City,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","226,301","8,396,614",89.8,,,,2018-2020,SPARCS data as of August 2022
Mid-Hudson,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","27,351","2,323,571",39.2,,,,2018-2020,SPARCS data as of August 2022
Capital Region,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","9,257","958,857",32.2,,,,2018-2020,SPARCS data as of August 2022
Mohawk Valley,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","2,787","255,926",36.3,,,,2018-2020,SPARCS data as of August 2022
North Country,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","2,413","298,366",27,,,,2018-2020,SPARCS data as of August 2022
Tug Hill Seaway,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","2,602","247,303",35.1,,,,2018-2020,SPARCS data as of August 2022
Central NY,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","9,155","1,004,863",30.4,,,,2018-2020,SPARCS data as of August 2022
Southern Tier,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","3,619","435,245",27.7,,,,2018-2020,SPARCS data as of August 2022
Finger Lakes,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","13,871","1,264,579",36.6,,,,2018-2020,SPARCS data as of August 2022
Western NY,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","16,709","1,519,076",36.7,,,,2018-2020,SPARCS data as of August 2022
New York State (excluding NYC),1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","109,700","11,147,484",32.8,,,,2018-2020,SPARCS data as of August 2022
New York State,1,Component 1: Asthma Emergency Department Visits in New York State,ad10,"Total asthma emergency department visit rate per 10,000","336,001","19,544,098",57.3,,,,2018-2020,SPARCS data as of August 2022
Albany,1,Component 1: Asthma Emergency Department Visits in New York State,ad11,"Age-adjusted asthma emergency department visit rate per 10,000","4,271","306,691",51.2,,,,2018-2020,SPARCS data as of August 2022
Allegany,1,Component 1: Asthma Emergency Department Visits in New York State,ad11,"Age-adjusted asthma emergency department visit rate per 10,000",414,"46,286",32,,,,2018-2020,SPARCS data as of August 2022
Broome,1,Component 1: Asthma Emergency Department Visits in New York State,ad11,"Age-adjusted asthma emergency department visit rate per 10,000","1,937","192,222",37.9,,,,2018-2020,SPARCS data as of August 2022
Cattaraugus,1,Component 1: Asthma Emergency Department Visits in New York State,ad11,"Age-adjusted asthma emergency department visit rate per 10,000",563,"76,748",27.5,,,,2018-2020,SPARCS data as of August 2022
Cayuga,1,Component 1: Asthma Emergency Department Visits in New York State,ad11,"Age-adjusted asthma emergency department visit rate per 10,000",534,"77,121",25.9,,,,2018-2020,SPARCS data as of August 2022
Chautauqua,1,Component 1: Asthma Emergency Department Visits in New York State,ad11,"Age-adjusted asthma emergency department visit rate per 10,000","1,432","127,516",42.5,,,,2018-2020,SPARCS data as of August 2022
Chemung,1,Component 1: Asthma Emergency Department Visits in New York State,ad11,"Age-adjusted asthma emergency department visit rate per 10,000",930,"84,033",40.9,,,,2018-2020,SPARCS data as of August 2022
Chenango,1,Component 1: Asthma Emergency Department Visits in New York State,ad11,"Age-adjusted asthma emergency department visit rate per 10,000",554,"47,502",44.3,,,,2018-2020,SPARCS data as of August 2022
Clinton,1,Component 1: Asthma Emergency Department Visits in New York State,ad11,"Age-adjusted asthma emergency department visit rate per 10,000",804,"80,675",35,,,,2018-2020,SPARCS data as of August 2022
Columbia,1,Component 1: Asthma Emergency Department Visits in New York State,ad11,"Age-adjusted asthma emergency department visit rate per 10,000",482,"59,852",32.6,,,,2018-2020,SPARCS data as of August 2022
Cortland,1,Component 1: Asthma Emergency Department Visits in New York State,ad11,"Age-adjusted asthma emergency department visit rate per 10,000",435,"47,721",35.1,,,,2018-2020,SPARCS data as of August 2022
Delaware,1,Component 1: Asthma Emergency Department Visits in New York State,ad11,"Age-adjusted asthma emergency department visit rate per 10,000",466,"44,624",39.9,,,,2018-2020,SPARCS data as of August 2022
Dutchess,1,Component 1: Asthma Emergency Department Visits in New York State,ad11,"Age-adjusted asthma emergency department visit rate per 10,000","3,186","293,814",40.6,,,,2018-2020,SPARCS data as of August 2022
Erie,1,Component 1: Asthma Emergency Department Visits in New York State,ad11,"Age-adjusted asthma emergency department visit rate per 10,000","11,054","919,941",44.3,,,,2018-2020,SPARCS data as of August 2022
Essex,1,Component 1: Asthma Emergency Department Visits in New York State,ad11,"Age-adjusted asthma emergency department visit rate per 10,000",348,"37,309",37.1,,,,2018-2020,SPARCS data as of August 2022
